iter	Passed	Remaining
404	8136	11953
405	8156	11932
406	8176	11913
407	8195	11891
408	8215	11871
409	8235	11851
410	8254	11829
411	8273	11808
412	8292	11786
413	8311	11765
414	8330	11743
415	8349	11721
416	8369	11700
417	8388	11680
418	8408	11659
419	8430	11642
420	8450	11621
421	8468	11599
422	8488	11579
423	8509	11559
424	8529	11539
425	8550	11520
426	8569	11500
427	8599	11493
428	8619	11472
429	8638	11451
430	8657	11429
431	8676	11408
432	8699	11391
433	8718	11370
434	8739	11350
435	8758	11330
436	8779	11310
437	8800	11291
438	8819	11270
439	8839	11250
440	8859	11230
441	8879	11209
442	8899	11189
443	8917	11167
444	8937	11146
445	8957	11127
446	8977	11106
447	8997	11085
448	9017	11066
449	9036	11045
450	9056	11024
451	9076	11004
452	9096	10984
453	9117	10965
454	9139	10947
455	9158	10926
456	9178	10905
457	9203	10891
458	9224	10872
459	9245	10853
460	9267	10835
461	9288	10816
462	9309	10797
463	9331	10779
464	9350	10758
465	9370	10738
466	9391	10718
467	9409	10696
468	9431	10677
469	9450	10656
470	9469	10635
471	9488	10614
472	9507	10593
473	9526	10571
474	9547	10552
475	9566	10531
476	9595	10521
477	9615	10500
478	9635	10479
479	9654	10459
480	9674	10438
481	9693	10417
482	9711	10395
483	9730	10373
484	9751	10354
485	9773	10336
486	9793	10316
487	9812	10294
488	9832	10274
489	9853	10255
490	9872	10234
491	9893	10215
492	9912	10194
493	9932	10174
494	9953	10154
495	9973	10134
496	9994	10115
497	10014	10095
498	10035	10075
499	10056	10056
500	10076	10036
501	10096	10016
502	10117	9996
503	10136	9975
504	10155	9954
505	10174	9933
506	10193	9912
507	10213	9891
508	10234	9872
509	10255	9853
510	10275	9833
511	10294	9812
512	10315	9792
513	10334	9771
514	10354	9750
515	10373	9730
516	10393	9709
517	10412	9688
518	10432	9668
519	10451	9647
520	10470	9626
521	10488	9604
522	10505	9581
523	10524	9560
524	10543	9538
525	10570	9525
526	10591	9506
527	10610	9485
528	10630	9465
529	10650	9445
530	10670	9424
531	10689	9403
532	10708	9382
533	10727	9361
534	10747	9341
535	10767	9321
536	10787	9300
537	10806	9280
538	10827	9260
539	10847	9240
540	10867	9219
541	10888	9200
542	10909	9182
543	10932	9164
544	10953	9144
545	10972	9123
546	10993	9104
547	11015	9085
548	11035	9065
549	11056	9046
550	11076	9026
551	11098	9007
552	11121	8989
553	11143	8971
554	11165	8952
555	11186	8932
556	11207	8913
557	11227	8893
558	11248	8873
559	11267	8853
560	11287	8832
561	11306	8811
562	11327	8792
563	11346	8771
564	11366	8751
565	11391	8734
566	11412	8715
567	11432	8695
568	11452	8674
569	11472	8654
570	11491	8633
571	11510	8613
572	11532	8594
573	11554	8575
574	11586	8563
575	11606	8543
576	11625	8522
577	11644	8501
578	11663	8481
579	11684	8461
580	11703	8440
581	11724	8420
582	11743	8400
583	11764	8380
584	11785	8360
585	11806	8340
